movie_id,size,mean
1,0.712962963,3.9073275862
2,0.2808641975,3.3532608696
3,0.1759259259,3.1896551724
4,0.0308641975,2.8181818182
5,0.1882716049,3.25
6,0.3518518519,4.0739130435
7,0.1666666667,3.3818181818
8,0.0061728395,3.6666666667
9,0.0679012346,2.8695652174
10,0.4135802469,3.6
11,0.2592592593,3.7294117647
12,0.0586419753,2.825
13,0.0216049383,3.4375
14,0.0740740741,3.46
15,0.0524691358,3.1111111111
16,0.2561728395,3.7857142857
17,0.3055555556,3.93
18,0.0617283951,3.6428571429
19,0.2777777778,2.6428571429
20,0.0462962963,3.15625
21,0.3302469136,3.4907407407
22,0.1265432099,3.4285714286
23,0.0709876543,3.1458333333
24,0.1141975309,2.8947368421
25,0.2654320988,3.7701149425
26,0.0401234568,3.75
27,0.012345679,3.2
28,0.0401234568,3.7857142857
29,0.1358024691,4.2333333333
30,0.0277777778,3.5
31,0.1327160494,3.1704545455
32,0.6358024691,3.9396135266
33,0,2.5
34,0.3950617284,3.6162790698
35,0.0061728395,3
36,0.274691358,3.9833333333
39,0.299382716,3.2755102041
40,0.0154320988,3.25
41,0.0555555556,3.6578947368
42,0.037037037,3.1923076923
43,0.0308641975,3.2727272727
44,0.1604938272,2.7075471698
45,0.1080246914,3.3611111111
46,0.0339506173,3.1666666667
47,0.6018518519,4.1301020408
48,0.1697530864,3.1071428571
49,0.0030864198,4
50,0.700617284,4.3289473684
52,0.1111111111,3.5810810811
53,0.0030864198,3
54,0.0092592593,3
55,0.0092592593,3
57,0.024691358,3.6666666667
58,0.1419753086,4.0531914894
59,0.0061728395,3
60,0.0648148148,3.0454545455
61,0.0216049383,3.75
62,0.2777777778,3.8736263736
63,0.0524691358,2.9444444444
64,0.0185185185,2.7857142857
65,0.0771604938,2.2884615385
66,0.0586419753,2.5
68,0.0092592593,3.75
69,0.0462962963,3.71875
70,0.200617284,3.4015151515
71,0.0154320988,2.25
72,0.0030864198,4.5
73,0.0277777778,4.15
74,0.0432098765,3
75,0.0030864198,2.25
76,0.0586419753,3.175
78,0.0277777778,3.4
79,0.0648148148,3.2727272727
80,0.0061728395,3.3333333333
81,0.0617283951,3.2142857143
82,0.0277777778,3.45
83,0.012345679,3.8
84,0.0061728395,4
85,0.0277777778,3.85
86,0.0524691358,3.3333333333
87,0.0154320988,2.4166666667
88,0.0771604938,3
89,0.049382716,3.1176470588
90,0.0061728395,3
92,0.0308641975,2.9545454546
93,0.024691358,2.5555555556
94,0.0308641975,3.7727272727
95,0.3333333333,3.0963302752
96,0.0061728395,3.8333333333
97,0.0401234568,3.8928571429
100,0.037037037,3.4615384615
101,0.0586419753,3.75
102,0.0185185185,2.7142857143
103,0.0154320988,3.25
104,0.2407407407,3.4493670886
105,0.1049382716,3.3571428571
107,0.1141975309,3.4210526316
108,0,2
110,0.762345679,4.1088709677
111,0.3611111111,4.029661017
112,0.1543209877,3.3921568628
113,0.0154320988,3.5
114,0.0061728395,4
115,0,4
116,0.0185185185,3.4285714286
117,0.024691358,3.7222222222
118,0.0216049383,3.5
121,0.012345679,3.4
122,0.0432098765,3.4
123,0.0432098765,3.8
124,0,5
125,0.0401234568,3.5
126,0.0092592593,2.125
129,0,4
131,0.0030864198,3
132,0.024691358,2.6666666667
135,0.0925925926,3.2741935484
137,0.0030864198,2.5
138,0,1
140,0.0586419753,3.175
141,0.3240740741,3.5518867925
144,0.0617283951,3.3333333333
145,0.2037037037,3.4328358209
146,0.0061728395,3.6666666667
147,0.037037037,3.8846153846
149,0.0216049383,3.8125
150,0.6049382716,3.9695431472
151,0.1975308642,3.4846153846
152,0.0061728395,2.8333333333
153,0.4814814815,2.9649681529
154,0.0555555556,4.0263157895
155,0.0185185185,3.2857142857
156,0.012345679,4
157,0.0185185185,3.0714285714
