movieId,imdbId,title,genres,genresV
1,114709,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,0|0|0|0|0|0|0|0|1|0|1|0|1|0|0|1|0|1|0|0
2,113497,Jumanji (1995),Adventure|Children|Fantasy,0|0|0|0|0|0|0|0|1|0|0|0|1|0|0|0|0|1|0|0
3,113228,Grumpier Old Men (1995),Comedy|Romance,0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0
4,114885,Waiting to Exhale (1995),Comedy|Drama|Romance,0|1|0|0|0|0|0|1|0|0|0|0|0|0|0|1|0|0|0|0
5,113041,Father of the Bride Part II (1995),Comedy,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0
6,113277,Heat (1995),Action|Crime|Thriller,0|0|0|0|0|0|1|0|0|0|0|0|0|1|0|0|0|0|1|0
7,114319,Sabrina (1995),Comedy|Romance,0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0
8,112302,Tom and Huck (1995),Adventure|Children,0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|1|0|0
9,114576,Sudden Death (1995),Action,0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0
10,113189,GoldenEye (1995),Action|Adventure|Thriller,0|0|0|0|0|0|0|0|0|0|0|0|1|1|0|0|0|0|1|0
11,112346,"American President, The (1995)",Comedy|Drama|Romance,0|1|0|0|0|0|0|1|0|0|0|0|0|0|0|1|0|0|0|0
12,112896,Dracula: Dead and Loving It (1995),Comedy|Horror,0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0
13,112453,Balto (1995),Adventure|Animation|Children,0|0|0|0|0|0|0|0|0|0|1|0|1|0|0|0|0|1|0|0
14,113987,Nixon (1995),Drama,0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0
15,112760,Cutthroat Island (1995),Action|Adventure|Romance,0|1|0|0|0|0|0|0|0|0|0|0|1|1|0|0|0|0|0|0
16,112641,Casino (1995),Crime|Drama,0|0|0|0|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0
17,114388,Sense and Sensibility (1995),Drama|Romance,0|1|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0
18,113101,Four Rooms (1995),Comedy,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0
19,112281,Ace Ventura: When Nature Calls (1995),Comedy,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0
20,113845,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,0|0|0|0|0|0|1|1|0|0|0|0|0|1|0|1|0|0|1|0
21,113161,Get Shorty (1995),Comedy|Crime|Thriller,0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|1|0|0|1|0
22,112722,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,1|0|0|0|1|0|1|1|0|0|0|0|0|0|0|0|0|0|1|0
23,112401,Assassins (1995),Action|Crime|Thriller,0|0|0|0|0|0|1|0|0|0|0|0|0|1|0|0|0|0|1|0
24,114168,Powder (1995),Drama|Sci-Fi,0|0|0|1|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0
25,113627,Leaving Las Vegas (1995),Drama|Romance,0|1|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0
26,114057,Othello (1995),Drama,0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0
27,114011,Now and Then (1995),Children|Drama,0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|1|0|0
28,114117,Persuasion (1995),Drama|Romance,0|1|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0
29,112682,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,1|0|0|1|0|0|0|1|1|0|0|0|1|0|0|0|0|0|0|0
30,115012,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,0|0|0|0|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0
31,112792,Dangerous Minds (1995),Drama,0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0
32,114746,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,1|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0
33,114952,Wings of Courage (1995),Adventure|Romance|IMAX,0|1|1|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0
34,112431,Babe (1995),Children|Drama,0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|1|0|0
35,112637,Carrington (1995),Drama|Romance,0|1|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0
36,112818,Dead Man Walking (1995),Crime|Drama,0|0|0|0|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0
39,112697,Clueless (1995),Comedy|Romance,0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0
40,112749,"Cry, the Beloved Country (1995)",Drama,0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0
41,114279,Richard III (1995),Drama|War,0|0|0|0|0|0|0|1|0|0|0|1|0|0|0|0|0|0|0|0
42,112819,Dead Presidents (1995),Action|Crime|Drama,0|0|0|0|0|0|1|1|0|0|0|0|0|1|0|0|0|0|0|0
43,114272,Restoration (1995),Drama,0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0
44,113855,Mortal Kombat (1995),Action|Adventure|Fantasy,0|0|0|0|0|0|0|0|1|0|0|0|1|1|0|0|0|0|0|0
45,114681,To Die For (1995),Comedy|Drama|Thriller,0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|1|0|0|1|0
46,113347,How to Make an American Quilt (1995),Drama|Romance,0|1|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0
47,114369,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0
48,114148,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,0|1|0|0|0|0|0|1|0|1|1|0|0|0|0|0|0|1|0|0
49,114916,When Night Is Falling (1995),Drama|Romance,0|1|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0
50,114814,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,1|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|1|0
52,113819,Mighty Aphrodite (1995),Comedy|Drama|Romance,0|1|0|0|0|0|0|1|0|0|0|0|0|0|0|1|0|0|0|0
53,110299,Lamerica (1994),Adventure|Drama,0|0|0|0|0|0|0|1|0|0|0|0|1|0|0|0|0|0|0|0
54,112499,"Big Green, The (1995)",Children|Comedy,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|1|0|0
55,113158,Georgia (1995),Drama,0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0
57,113321,Home for the Holidays (1995),Drama,0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0
58,110877,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance,0|1|0|0|0|0|0|1|0|0|0|0|0|0|0|1|0|0|0|0
59,112714,"Confessional, The (Confessionnal, Le) (1995)",Drama|Mystery,1|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0
