movieId,imdbId,title,genres,genresV
1,tt0114709,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,0|0|0|0|0|0|0|0|1|0|1|0|1|0|0|1|0|1|0|0
2,tt0113497,Jumanji (1995),Adventure|Children|Fantasy,0|0|0|0|0|0|0|0|1|0|0|0|1|0|0|0|0|1|0|0
3,tt0113228,Grumpier Old Men (1995),Comedy|Romance,0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0
4,tt0114885,Waiting to Exhale (1995),Comedy|Drama|Romance,0|1|0|0|0|0|0|1|0|0|0|0|0|0|0|1|0|0|0|0
5,tt0113041,Father of the Bride Part II (1995),Comedy,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0
6,tt0113277,Heat (1995),Action|Crime|Thriller,0|0|0|0|0|0|1|0|0|0|0|0|0|1|0|0|0|0|1|0
7,tt0114319,Sabrina (1995),Comedy|Romance,0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0
8,tt0112302,Tom and Huck (1995),Adventure|Children,0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|1|0|0
9,tt0114576,Sudden Death (1995),Action,0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0
10,tt0113189,GoldenEye (1995),Action|Adventure|Thriller,0|0|0|0|0|0|0|0|0|0|0|0|1|1|0|0|0|0|1|0
11,tt0112346,"American President, The (1995)",Comedy|Drama|Romance,0|1|0|0|0|0|0|1|0|0|0|0|0|0|0|1|0|0|0|0
12,tt0112896,Dracula: Dead and Loving It (1995),Comedy|Horror,0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0
13,tt0112453,Balto (1995),Adventure|Animation|Children,0|0|0|0|0|0|0|0|0|0|1|0|1|0|0|0|0|1|0|0
14,tt0113987,Nixon (1995),Drama,0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0
15,tt0112760,Cutthroat Island (1995),Action|Adventure|Romance,0|1|0|0|0|0|0|0|0|0|0|0|1|1|0|0|0|0|0|0
16,tt0112641,Casino (1995),Crime|Drama,0|0|0|0|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0
17,tt0114388,Sense and Sensibility (1995),Drama|Romance,0|1|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0
18,tt0113101,Four Rooms (1995),Comedy,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0
19,tt0112281,Ace Ventura: When Nature Calls (1995),Comedy,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0
20,tt0113845,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,0|0|0|0|0|0|1|1|0|0|0|0|0|1|0|1|0|0|1|0
21,tt0113161,Get Shorty (1995),Comedy|Crime|Thriller,0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|1|0|0|1|0
22,tt0112722,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,1|0|0|0|1|0|1|1|0|0|0|0|0|0|0|0|0|0|1|0
23,tt0112401,Assassins (1995),Action|Crime|Thriller,0|0|0|0|0|0|1|0|0|0|0|0|0|1|0|0|0|0|1|0
24,tt0114168,Powder (1995),Drama|Sci-Fi,0|0|0|1|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0
25,tt0113627,Leaving Las Vegas (1995),Drama|Romance,0|1|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0
26,tt0114057,Othello (1995),Drama,0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0
27,tt0114011,Now and Then (1995),Children|Drama,0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|1|0|0
28,tt0114117,Persuasion (1995),Drama|Romance,0|1|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0
29,tt0112682,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,1|0|0|1|0|0|0|1|1|0|0|0|1|0|0|0|0|0|0|0
30,tt0115012,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,0|0|0|0|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0
31,tt0112792,Dangerous Minds (1995),Drama,0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0
32,tt0114746,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,1|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0
33,tt0114952,Wings of Courage (1995),Adventure|Romance|IMAX,0|1|1|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0
34,tt0112431,Babe (1995),Children|Drama,0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|1|0|0
35,tt0112637,Carrington (1995),Drama|Romance,0|1|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0
36,tt0112818,Dead Man Walking (1995),Crime|Drama,0|0|0|0|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0
39,tt0112697,Clueless (1995),Comedy|Romance,0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0
40,tt0112749,"Cry, the Beloved Country (1995)",Drama,0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0
41,tt0114279,Richard III (1995),Drama|War,0|0|0|0|0|0|0|1|0|0|0|1|0|0|0|0|0|0|0|0
42,tt0112819,Dead Presidents (1995),Action|Crime|Drama,0|0|0|0|0|0|1|1|0|0|0|0|0|1|0|0|0|0|0|0
43,tt0114272,Restoration (1995),Drama,0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0
44,tt0113855,Mortal Kombat (1995),Action|Adventure|Fantasy,0|0|0|0|0|0|0|0|1|0|0|0|1|1|0|0|0|0|0|0
45,tt0114681,To Die For (1995),Comedy|Drama|Thriller,0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|1|0|0|1|0
46,tt0113347,How to Make an American Quilt (1995),Drama|Romance,0|1|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0
47,tt0114369,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0
48,tt0114148,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,0|1|0|0|0|0|0|1|0|1|1|0|0|0|0|0|0|1|0|0
49,tt0114916,When Night Is Falling (1995),Drama|Romance,0|1|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0
50,tt0114814,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,1|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|1|0
52,tt0113819,Mighty Aphrodite (1995),Comedy|Drama|Romance,0|1|0|0|0|0|0|1|0|0|0|0|0|0|0|1|0|0|0|0
53,tt0110299,Lamerica (1994),Adventure|Drama,0|0|0|0|0|0|0|1|0|0|0|0|1|0|0|0|0|0|0|0
54,tt0112499,"Big Green, The (1995)",Children|Comedy,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|1|0|0
55,tt0113158,Georgia (1995),Drama,0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0
57,tt0113321,Home for the Holidays (1995),Drama,0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0
58,tt0110877,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance,0|1|0|0|0|0|0|1|0|0|0|0|0|0|0|1|0|0|0|0
59,tt0112714,"Confessional, The (Confessionnal, Le) (1995)",Drama|Mystery,1|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0
60,tt0113419,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy,0|0|0|0|0|0|0|0|1|0|0|0|1|0|0|0|0|1|0|0
61,tt0116260,Eye for an Eye (1996),Drama|Thriller,0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|1|0
62,tt0113862,Mr. Holland's Opus (1995),Drama,0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0
63,tt0116126,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime,0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|1|0|0|0|0
64,tt0118002,Two if by Sea (1996),Comedy|Romance,0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0
65,tt0115683,Bio-Dome (1996),Comedy,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0
66,tt0116839,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller,0|0|0|1|0|0|0|0|0|0|0|0|0|1|0|0|0|0|1|0
68,tt0113149,French Twist (Gazon maudit) (1995),Comedy|Romance,0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0
69,tt0113118,Friday (1995),Comedy,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0
70,tt0116367,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller,0|0|0|0|1|0|0|0|0|0|0|0|0|1|0|1|0|0|1|0
71,tt0113010,Fair Game (1995),Action,0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0
72,tt0113537,Kicking and Screaming (1995),Comedy|Drama,0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|1|0|0|0|0
73,tt0113828,"Misérables, Les (1995)",Drama|War,0|0|0|0|0|0|0|1|0|0|0|1|0|0|0|0|0|0|0|0
74,tt0115644,Bed of Roses (1996),Drama|Romance,0|1|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0
75,tt0115676,Big Bully (1996),Comedy|Drama,0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|1|0|0|0|0
76,tt0114367,Screamers (1995),Action|Sci-Fi|Thriller,0|0|0|1|0|0|0|0|0|0|0|0|0|1|0|0|0|0|1|0
78,tt0112744,"Crossing Guard, The (1995)",Action|Crime|Drama|Thriller,0|0|0|0|0|0|1|1|0|0|0|0|0|1|0|0|0|0|1|0
79,tt0116731,"Juror, The (1996)",Drama|Thriller,0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|1|0
80,tt0112445,"White Balloon, The (Badkonake sefid) (1995)",Children|Drama,0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|1|0|0
81,tt0114660,Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance,0|1|0|0|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0
82,tt0112379,Antonia's Line (Antonia) (1995),Comedy|Drama,0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|1|0|0|0|0
83,tt0114039,Once Upon a Time... When We Were Colored (1995),Drama|Romance,0|1|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0
84,tt0113612,Last Summer in the Hamptons (1995),Comedy|Drama,0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|1|0|0|0|0
85,tt0112365,Angels and Insects (1995),Drama|Romance,0|1|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0
86,tt0118158,White Squall (1996),Action|Adventure|Drama,0|0|0|0|0|0|0|1|0|0|0|0|1|1|0|0|0|0|0|0
87,tt0116151,Dunston Checks In (1996),Children|Comedy,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|1|0|0
88,tt0115697,Black Sheep (1996),Comedy,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0
89,tt0113972,Nick of Time (1995),Action|Thriller,0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|1|0
90,tt0113490,"Journey of August King, The (1995)",Drama,0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0
92,tt0117002,Mary Reilly (1996),Drama|Horror|Thriller,0|0|0|0|1|0|0|1|0|0|0|0|0|0|0|0|0|0|1|0
93,tt0114825,Vampire in Brooklyn (1995),Comedy|Horror|Romance,0|1|0|0|1|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0
94,tt0115639,Beautiful Girls (1996),Comedy|Drama|Romance,0|1|0|0|0|0|0|1|0|0|0|0|0|0|0|1|0|0|0|0
95,tt0115759,Broken Arrow (1996),Action|Adventure|Thriller,0|0|0|0|0|0|0|0|0|0|0|0|1|1|0|0|0|0|1|0
