movieId,title,genresV
1,toy story,0|0|0|0|0|0|0|0|1|0|1|0|1|0|0|1|0|1|0|0
2,jumanji,0|0|0|0|0|0|0|0|1|0|0|0|1|0|0|0|0|1|0|0
3,grumpier old men,0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0
4,waiting to exhale,0|1|0|0|0|0|0|1|0|0|0|0|0|0|0|1|0|0|0|0
5,father of the,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0
6,heat,0|0|0|0|0|0|1|0|0|0|0|0|0|1|0|0|0|0|1|0
7,sabrina,0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0
8,tom and huck,0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|1|0|0
9,sudden death,0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0
10,goldeneye,0|0|0|0|0|0|0|0|0|0|0|0|1|1|0|0|0|0|1|0
11,american president the,0|1|0|0|0|0|0|1|0|0|0|0|0|0|0|1|0|0|0|0
12,dracula dead and,0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0
13,balto,0|0|0|0|0|0|0|0|0|0|1|0|1|0|0|0|0|1|0|0
14,nixon,0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0
15,cutthroat island,0|1|0|0|0|0|0|0|0|0|0|0|1|1|0|0|0|0|0|0
16,casino,0|0|0|0|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0
17,sense and sensibility,0|1|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0
18,four rooms,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0
19,ace ventura when,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0
20,money train,0|0|0|0|0|0|1|1|0|0|0|0|0|1|0|1|0|0|1|0
21,get shorty,0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|1|0|0|1|0
22,copycat,1|0|0|0|1|0|1|1|0|0|0|0|0|0|0|0|0|0|1|0
23,assassins,0|0|0|0|0|0|1|0|0|0|0|0|0|1|0|0|0|0|1|0
24,powder,0|0|0|1|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0
25,leaving las vegas,0|1|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0
26,othello,0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0
27,now and then,0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|1|0|0
28,persuasion,0|1|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0
29,city of lost,1|0|0|1|0|0|0|1|1|0|0|0|1|0|0|0|0|0|0|0
30,shanghai triad yao,0|0|0|0|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0
31,dangerous minds,0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0
32,twelve monkeys a,1|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0
33,wings of courage,0|1|1|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0
34,babe,0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|1|0|0
